Song,Artist,Date,Streams,Rank
astral step,shadowraze,2022-02-20,"7,164",1
Heat Waves,Glass Animals,2022-02-20,"4,835",2
adaptive strike,"shadowraze, LXNER, quiizzzmeow",2022-02-20,"4,482",3
МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,2022-02-20,"4,129",4
Лёд,"WENARO, LXNER",2022-02-20,"3,966",5
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,2022-02-20,"3,828",6
Фотографирую закат,fem.love,2022-02-20,"3,768",7
MIDDLE OF THE NIGHT,Elley Duhé,2022-02-20,"3,605",8
СОЛНЦЕ МОНАКО,Lusia Chebotina,2022-02-20,"3,452",9
Marmalade,"Miyagi & Andy Panda, Mav-d",2022-02-20,"3,442",10
STAY (with Justin Bieber),The Kid LAROI,2022-02-20,"3,362",11
ТОЛПЫ КРИЧАТ,"uniqe, nkeeei, ARTEM SHILOVETS",2022-02-20,"3,349",12
первое свидание,алёна швец.,2022-02-20,"3,291",13
Close Eyes,DVRST,2022-02-20,"3,280",14
Sweater Weather,The Neighbourhood,2022-02-20,"3,259",15
99 Problems,"Big Baby Tape, kizaru",2022-02-20,"3,193",16
Отпускаю,"Egor Kreed, MakSim",2022-02-20,"3,102",17
shadowfiend,shadowraze,2022-02-20,"3,069",18
5000,Irina Kairatovna,2022-02-20,"3,056",19
Softcore,The Neighbourhood,2022-02-20,"2,968",20
Bandana,"Big Baby Tape, kizaru",2022-02-20,"2,966",21
плачь,"rizza, Sqwore",2022-02-20,"2,962",22
Million,"Big Baby Tape, kizaru",2022-02-20,"2,833",23
abcdefu,GAYLE,2022-02-20,"2,758",24
juggernaut (Prod. by PLVSTIC),shadowraze,2022-02-20,"2,722",25
Baby mama,"Skryptonite, Райда",2022-02-20,"2,708",26
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2022-02-20,"2,677",27
Otyzdan asyp baramyn,Irina Kairatovna,2022-02-20,"2,666",28
баночка с окурками,КОСМОНАВТОВ НЕТ,2022-02-20,"2,598",29
psiblades,"shadowraze, babyswishh1",2022-02-20,"2,558",30
Aomine Daiki,quiizzzmeow,2022-02-20,"2,535",31
Woman,Doja Cat,2022-02-20,"2,485",32
Положение,Skryptonite,2022-02-20,"2,478",33
Танцы,ssshhhiiittt!,2022-02-20,"2,471",34
1000-7,"shadowraze, GENJUTSU",2022-02-20,"2,422",35
Вороны,Xcho,2022-02-20,"2,421",36
"Наверно, ты меня не помнишь","JONY, HammAli",2022-02-20,"2,353",37
Infinity,Jaymes Young,2022-02-20,"2,281",38
Notion,The Rare Occasions,2022-02-20,"2,254",39
Toxic,BoyWithUke,2022-02-20,"2,226",40
Гармония,Artik & Asti,2022-02-20,"2,215",41
ночь,ooes,2022-02-20,"2,190",42
Август - это ты,МОТ,2022-02-20,"2,160",43
Барбисайз,"Дора, MAYBE BABY",2022-02-20,"2,159",44
Москва любит...,Skryptonite,2022-02-20,"2,143",45
I Love You So,The Walters,2022-02-20,"2,137",46
Буревестник,Miyagi & Andy Panda,2022-02-20,"2,125",47
Патрон,Miyagi & Andy Panda,2022-02-20,"2,120",48
Цепи,"Skryptonite, 104",2022-02-20,"2,107",49
Stay Alive (Prod. SUGA of BTS),Jung Kook,2022-02-20,"2,093",50
Я всё решу (Intro),ZAPOMNI,2022-02-20,"2,060",51
Formula,Labrinth,2022-02-20,"2,017",52
Daddy Issues,The Neighbourhood,2022-02-20,"2,017",53
"Боже, как завидую","HammAli & Navai, Jah Khalib",2022-02-20,"1,992",54
Freaks,Surf Curse,2022-02-20,"1,973",55
After Dark,Mr.Kitty,2022-02-20,"1,952",56
Кайф ты поймала,Konfuz,2022-02-20,"1,951",57
ЛАБИРИНТ,FACE,2022-02-20,"1,918",58
Cold Heart - PNAU Remix,"Elton John, Dua Lipa",2022-02-20,"1,911",59
МЯТОЙ - remix 2010,КОСМОНАВТОВ НЕТ,2022-02-20,"1,911",60
ТАЙМАУТ,Nikitata,2022-02-20,"1,902",61
MONEY,LISA,2022-02-20,"1,901",62
Blinding Lights,The Weeknd,2022-02-20,"1,900",63
Седьмой лепесток,Антон Токарев,2022-02-20,"1,898",64
Кожура,ZAPOMNI,2022-02-20,"1,890",65
Brooklyn,"Miyagi & Andy Panda, TumaniYO",2022-02-20,"1,885",66
Первый раз - remix nevroz,JojoHF,2022-02-20,"1,880",67
Phonky Town,PlayaPhonk,2022-02-20,"1,842",68
За всех,MACAN,2022-02-20,"1,839",69
SUICIDE YEAR,"WEEDMANE, Suicideyear",2022-02-20,"1,816",70
I Got Love,"MiyaGi & Endspiel, Rem Digga",2022-02-20,"1,807",71
all I want is you,"Rebzyyx, hoshie star",2022-02-20,"1,806",72
TRAXXXMANIA,GONE.Fludd,2022-02-20,"1,803",73
Привет,Kambulat,2022-02-20,"1,796",74
LIPSI HA,INSTASAMKA,2022-02-20,"1,779",75
Феникс,ANNA ASTI,2022-02-20,"1,769",76
NE ÁŃGIME?,"Irina Kairatovna, Junior",2022-02-20,"1,758",77
Dark Red,Steve Lacy,2022-02-20,"1,750",78
Swim,Chase Atlantic,2022-02-20,"1,747",79
С любовью,CAPTOWN,2022-02-20,"1,703",80
Need to Know,Doja Cat,2022-02-20,"1,700",81
I WANNA BE YOUR SLAVE,Måneskin,2022-02-20,"1,685",82
Чистый - OST «Псих»,Skryptonite,2022-02-20,"1,685",83
Jealous,Eyedress,2022-02-20,"1,682",84
Дежавю,kizaru,2022-02-20,"1,661",85
Scary Garry,"Kaito Shoma, DJ Paul, Kingpin Skinny Pimp",2022-02-20,"1,654",86
Fire Man,MiyaGi & Endspiel,2022-02-20,"1,653",87
Sahara,Hensonn,2022-02-20,"1,630",88
Without Me,Eminem,2022-02-20,"1,628",89
Танцуй сама,Skryptonite,2022-02-20,"1,616",90
Босс,"JONY, The Limba",2022-02-20,"1,606",91
1000-7,fem.love,2022-02-20,"1,600",92
MONTERO (Call Me By Your Name),Lil Nas X,2022-02-20,"1,598",93
so low,"escape, Даня Милохин",2022-02-20,"1,588",94
Ginseng Strip 2002,Yung Lean,2022-02-20,"1,579",95
Another Love,Tom Odell,2022-02-20,"1,573",96
Как тебя покорить,Перемотка,2022-02-20,"1,571",97
Дорадура,Дора,2022-02-20,"1,559",98
Jungle,Emma Louise,2022-02-20,"1,558",99
Qar,Kalifarniya,2022-02-20,"1,552",100
Boyfriend,Dove Cameron,2022-02-20,"1,550",101
Yeyo!,Шайни,2022-02-20,"1,545",102
Lost in the Fire (feat. The Weeknd),Gesaffelstein,2022-02-20,"1,545",103
Птичка,HammAli & Navai,2022-02-20,"1,539",104
Башня,"Даня Милохин, Mumiy Troll",2022-02-20,"1,534",105
Это любовь,Skryptonite,2022-02-20,"1,528",106
Minor,Miyagi & Andy Panda,2022-02-20,"1,507",107
The Motto,"Tiësto, Ava Max",2022-02-20,"1,471",108
ODIUM,"LXST CXNTURY, Kingpin Skinny Pimp",2022-02-20,"1,465",109
Kiss Me More (feat. SZA),Doja Cat,2022-02-20,"1,465",110
зима,ooes,2022-02-20,"1,462",111
No Love,АДЛИН,2022-02-20,"1,459",112
WA DA DA,Kep1er,2022-02-20,"1,457",113
Холодно,Chris Yank,2022-02-20,"1,453",114
My Universe,"Coldplay, BTS",2022-02-20,"1,441",115
Я тебя люблю,Где Фантом?,2022-02-20,"1,439",116
Лифон,"uniqe, nkeeei, ARTEM SHILOVETS, SAGARA",2022-02-20,"1,437",117
Kõke,"Irina Kairatovna, Hiro, De Lacure, Fatbelly",2022-02-20,"1,437",118
Dandelions,Ruth B.,2022-02-20,"1,435",119
You Right,"Doja Cat, The Weeknd",2022-02-20,"1,435",120
Динозаврики,Папин Олимпос,2022-02-20,"1,423",121
Дом Периньон,"Poshlaya Molly, Eldzhey",2022-02-20,"1,409",122
засыпай,ssshhhiiittt!,2022-02-20,"1,392",123
Стеклянная,GUMA,2022-02-20,"1,391",124
Эскизы,Xcho,2022-02-20,"1,389",125
Kosandra,Miyagi & Andy Panda,2022-02-20,"1,388",126
THATS WHAT I WANT,Lil Nas X,2022-02-20,"1,388",127
Bad Habits,Ed Sheeran,2022-02-20,"1,379",128
Washing Machine Heart,Mitski,2022-02-20,"1,371",129
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2022-02-20,"1,371",130
Вина (feat. 17 SEVENTEEN),"OG Buda, MAYOT",2022-02-20,"1,370",131
Любовь после тебя,Artik & Asti,2022-02-20,"1,361",132
Никто,NЮ,2022-02-20,"1,355",133
untitled,"semmmyq, shinra",2022-02-20,"1,346",134
good 4 u,Olivia Rodrigo,2022-02-20,"1,342",135
The Feels,TWICE,2022-02-20,"1,327",136
ВЛЮБИЛАСЬ,"Big Baby Tape, Молодой Платон",2022-02-20,"1,319",137
u.,niteboi,2022-02-20,"1,319",138
Мистер 718,Skryptonite,2022-02-20,"1,318",139
Bored,Billie Eilish,2022-02-20,"1,314",140
Levitating (feat. DaBaby),Dua Lipa,2022-02-20,"1,313",141
Зымыран,Жугунусов Мирас,2022-02-20,"1,310",142
Кино,MACAN,2022-02-20,"1,306",143
raznotsvetnaya,DOROFEEVA,2022-02-20,"1,306",144
Ghoul,Twinky,2022-02-20,"1,299",145
дети немой страны,конец солнечных дней,2022-02-20,"1,296",146
Сан Ларан,"Платина, Дора",2022-02-20,"1,294",147
Tell Em,"Cochise, $NOT",2022-02-20,"1,289",148
masquerade,siouxxie sixxsta,2022-02-20,"1,286",149
Конспект,SCIRENA,2022-02-20,"1,282",150
Плакала,Lesha Svik,2022-02-20,"1,282",151
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,2022-02-20,"1,282",152
Не Бруклин,"МОТ, LYRIQ",2022-02-20,"1,273",153
Captain,MiyaGi,2022-02-20,"1,272",154
Кайен,Valentin Strykalo,2022-02-20,"1,270",155
KILLKA,"Ghostface Playa, fkbambam",2022-02-20,"1,268",156
Shivers,Ed Sheeran,2022-02-20,"1,265",157
The Real Slim Shady,Eminem,2022-02-20,"1,265",158
we fell in love in october,girl in red,2022-02-20,"1,264",159
Нету интереса,10AGE,2022-02-20,"1,264",160
FEVER,ENHYPEN,2022-02-20,"1,262",161
Меня не будет,"ANIKV, SALUKI",2022-02-20,"1,255",162
Привычка,"Skryptonite, Andy Panda, 104",2022-02-20,"1,246",163
Звезда упала,Sqwore,2022-02-20,"1,239",164
Easy On Me,Adele,2022-02-20,"1,238",165
ДРЕССКОД,Nikitata,2022-02-20,"1,236",166
Shake,Ishowsped,2022-02-20,"1,235",167
Someone like you,NILETTO,2022-02-20,"1,235",168
Днями-ночами,"pyrokinesis, MUKKA",2022-02-20,"1,232",169
Люби меня,"MiyaGi & Endspiel, Sимптом",2022-02-20,"1,230",170
NEW MAGIC WAND,"Tyler, The Creator",2022-02-20,"1,227",171
505,Arctic Monkeys,2022-02-20,"1,226",172
Хочешь,"Arthur Pirozhkov, Klava Koka",2022-02-20,"1,226",173
Do It To It,"ACRAZE, Cherish",2022-02-20,"1,221",174
UP,INNA,2022-02-20,"1,217",175
Beggin',Måneskin,2022-02-20,"1,208",176
Polaroid Love,ENHYPEN,2022-02-20,"1,204",177
Why'd You Only Call Me When You're High?,Arctic Monkeys,2022-02-20,"1,202",178
Люди,Дайте танк (!),2022-02-20,"1,201",179
Touch the Sky,"Ollane, MiyaGi",2022-02-20,"1,196",180
toxin,Benedixhion,2022-02-20,"1,195",181
ты похож на кота,zhanulka,2022-02-20,"1,191",182
help_urself,Ezekiel,2022-02-20,"1,187",183
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2022-02-20,"1,187",184
ХОЧЕШЬ?,Zemfira,2022-02-20,"1,186",185
Ты не моя пара,"Dima Bilan, Mari Kraimbrery",2022-02-20,"1,185",186
надежда,ssshhhiiittt!,2022-02-20,"1,181",187
Тёмно-оранжевый закат,Папин Олимпос,2022-02-20,"1,178",188
ПОЧЕМУ?,MORGENSHTERN,2022-02-20,"1,177",189
love nwantiti (ah ah ah),CKay,2022-02-20,"1,177",190
Stay With Me,1nonly,2022-02-20,"1,177",191
Goosebumps,HVME,2022-02-20,"1,177",192
24 на 7,FACE,2022-02-20,"1,169",193
спать с тобой,хочуспать,2022-02-20,"1,169",194
Happier Than Ever,Billie Eilish,2022-02-20,"1,168",195
в темноте,"КОСМОНАВТОВ НЕТ, дипинс",2022-02-20,"1,167",196
Холодное оружие,"Sqwore, rizza",2022-02-20,"1,162",197
Hope,XXXTENTACION,2022-02-20,"1,159",198
LOCO,ITZY,2022-02-20,"1,158",199
Friends,Chase Atlantic,2022-02-20,"1,153",200
astral step,shadowraze,2022-02-21,"7,359",1
Heat Waves,Glass Animals,2022-02-21,"4,899",2
МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,2022-02-21,"4,265",3
adaptive strike,"shadowraze, LXNER, quiizzzmeow",2022-02-21,"4,199",4
MIDDLE OF THE NIGHT,Elley Duhé,2022-02-21,"4,006",5
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,2022-02-21,"3,932",6
Marmalade,"Miyagi & Andy Panda, Mav-d",2022-02-21,"3,745",7
СОЛНЦЕ МОНАКО,Lusia Chebotina,2022-02-21,"3,571",8
Лёд,"WENARO, LXNER",2022-02-21,"3,495",9
Фотографирую закат,fem.love,2022-02-21,"3,488",10
STAY (with Justin Bieber),The Kid LAROI,2022-02-21,"3,394",11
5000,Irina Kairatovna,2022-02-21,"3,307",12
ТОЛПЫ КРИЧАТ,"uniqe, nkeeei, ARTEM SHILOVETS",2022-02-21,"3,281",13
99 Problems,"Big Baby Tape, kizaru",2022-02-21,"3,267",14
Sweater Weather,The Neighbourhood,2022-02-21,"3,256",15
первое свидание,алёна швец.,2022-02-21,"3,240",16
Softcore,The Neighbourhood,2022-02-21,"3,184",17
Отпускаю,"Egor Kreed, MakSim",2022-02-21,"3,159",18
shadowfiend,shadowraze,2022-02-21,"3,106",19
Otyzdan asyp baramyn,Irina Kairatovna,2022-02-21,"2,986",20
Bandana,"Big Baby Tape, kizaru",2022-02-21,"2,973",21
Baby mama,"Skryptonite, Райда",2022-02-21,"2,904",22
abcdefu,GAYLE,2022-02-21,"2,802",23
Close Eyes,DVRST,2022-02-21,"2,776",24
Вороны,Xcho,2022-02-21,"2,726",25
Положение,Skryptonite,2022-02-21,"2,710",26
Million,"Big Baby Tape, kizaru",2022-02-21,"2,694",27
плачь,"rizza, Sqwore",2022-02-21,"2,694",28
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2022-02-21,"2,673",29
баночка с окурками,КОСМОНАВТОВ НЕТ,2022-02-21,"2,654",30
juggernaut (Prod. by PLVSTIC),shadowraze,2022-02-21,"2,618",31
"Наверно, ты меня не помнишь","JONY, HammAli",2022-02-21,"2,610",32
Woman,Doja Cat,2022-02-21,"2,507",33
Aomine Daiki,quiizzzmeow,2022-02-21,"2,449",34
Infinity,Jaymes Young,2022-02-21,"2,416",35
Stay Alive (Prod. SUGA of BTS),Jung Kook,2022-02-21,"2,410",36
Патрон,Miyagi & Andy Panda,2022-02-21,"2,376",37
psiblades,"shadowraze, babyswishh1",2022-02-21,"2,370",38
Август - это ты,МОТ,2022-02-21,"2,367",39
Гармония,Artik & Asti,2022-02-21,"2,361",40
ночь,ooes,2022-02-21,"2,360",41
Танцы,ssshhhiiittt!,2022-02-21,"2,352",42
Буревестник,Miyagi & Andy Panda,2022-02-21,"2,342",43
Москва любит...,Skryptonite,2022-02-21,"2,326",44
"Боже, как завидую","HammAli & Navai, Jah Khalib",2022-02-21,"2,301",45
Formula,Labrinth,2022-02-21,"2,297",46
Цепи,"Skryptonite, 104",2022-02-21,"2,276",47
1000-7,"shadowraze, GENJUTSU",2022-02-21,"2,230",48
I Love You So,The Walters,2022-02-21,"2,162",49
Toxic,BoyWithUke,2022-02-21,"2,141",50
Notion,The Rare Occasions,2022-02-21,"2,138",51
Freaks,Surf Curse,2022-02-21,"2,137",52
Я всё решу (Intro),ZAPOMNI,2022-02-21,"2,130",53
Седьмой лепесток,Антон Токарев,2022-02-21,"2,094",54
Барбисайз,"Дора, MAYBE BABY",2022-02-21,"2,066",55
ЛАБИРИНТ,FACE,2022-02-21,"2,060",56
Blinding Lights,The Weeknd,2022-02-21,"2,060",57
Brooklyn,"Miyagi & Andy Panda, TumaniYO",2022-02-21,"2,032",58
Cold Heart - PNAU Remix,"Elton John, Dua Lipa",2022-02-21,"2,011",59
I Got Love,"MiyaGi & Endspiel, Rem Digga",2022-02-21,"1,991",60
Daddy Issues,The Neighbourhood,2022-02-21,"1,989",61
С любовью,CAPTOWN,2022-02-21,"1,985",62
ТАЙМАУТ,Nikitata,2022-02-21,"1,958",63
Феникс,ANNA ASTI,2022-02-21,"1,930",64
NE ÁŃGIME?,"Irina Kairatovna, Junior",2022-02-21,"1,911",65
За всех,MACAN,2022-02-21,"1,901",66
Чистый - OST «Псих»,Skryptonite,2022-02-21,"1,901",67
TRAXXXMANIA,GONE.Fludd,2022-02-21,"1,889",68
Привет,Kambulat,2022-02-21,"1,888",69
Fire Man,MiyaGi & Endspiel,2022-02-21,"1,853",70
MONEY,LISA,2022-02-21,"1,848",71
Кожура,ZAPOMNI,2022-02-21,"1,848",72
Without Me,Eminem,2022-02-21,"1,846",73
After Dark,Mr.Kitty,2022-02-21,"1,842",74
Кайф ты поймала,Konfuz,2022-02-21,"1,835",75
Первый раз - remix nevroz,JojoHF,2022-02-21,"1,805",76
all I want is you,"Rebzyyx, hoshie star",2022-02-21,"1,804",77
Swim,Chase Atlantic,2022-02-21,"1,788",78
Это любовь,Skryptonite,2022-02-21,"1,777",79
Танцуй сама,Skryptonite,2022-02-21,"1,771",80
Dark Red,Steve Lacy,2022-02-21,"1,750",81
I WANNA BE YOUR SLAVE,Måneskin,2022-02-21,"1,743",82
МЯТОЙ - remix 2010,КОСМОНАВТОВ НЕТ,2022-02-21,"1,742",83
Jealous,Eyedress,2022-02-21,"1,733",84
Need to Know,Doja Cat,2022-02-21,"1,711",85
Phonky Town,PlayaPhonk,2022-02-21,"1,691",86
Minor,Miyagi & Andy Panda,2022-02-21,"1,665",87
Дежавю,kizaru,2022-02-21,"1,658",88
Yeyo!,Шайни,2022-02-21,"1,656",89
The Motto,"Tiësto, Ava Max",2022-02-21,"1,652",90
Босс,"JONY, The Limba",2022-02-21,"1,642",91
Мистер 718,Skryptonite,2022-02-21,"1,638",92
Ginseng Strip 2002,Yung Lean,2022-02-21,"1,623",93
Птичка,HammAli & Navai,2022-02-21,"1,620",94
MONTERO (Call Me By Your Name),Lil Nas X,2022-02-21,"1,616",95
Sahara,Hensonn,2022-02-21,"1,610",96
Lost in the Fire (feat. The Weeknd),Gesaffelstein,2022-02-21,"1,608",97
Kõke,"Irina Kairatovna, Hiro, De Lacure, Fatbelly",2022-02-21,"1,599",98
SUICIDE YEAR,"WEEDMANE, Suicideyear",2022-02-21,"1,592",99
Как тебя покорить,Перемотка,2022-02-21,"1,580",100
Jungle,Emma Louise,2022-02-21,"1,576",101
Kosandra,Miyagi & Andy Panda,2022-02-21,"1,571",102
Another Love,Tom Odell,2022-02-21,"1,547",103
Стеклянная,GUMA,2022-02-21,"1,539",104
Вина (feat. 17 SEVENTEEN),"OG Buda, MAYOT",2022-02-21,"1,539",105
so low,"escape, Даня Милохин",2022-02-21,"1,538",106
LIPSI HA,INSTASAMKA,2022-02-21,"1,536",107
No Love,АДЛИН,2022-02-21,"1,529",108
Дорадура,Дора,2022-02-21,"1,518",109
Qar,Kalifarniya,2022-02-21,"1,490",110
Любовь после тебя,Artik & Asti,2022-02-21,"1,485",111
Холодно,Chris Yank,2022-02-21,"1,478",112
ВЛЮБИЛАСЬ,"Big Baby Tape, Молодой Платон",2022-02-21,"1,473",113
The Real Slim Shady,Eminem,2022-02-21,"1,471",114
THATS WHAT I WANT,Lil Nas X,2022-02-21,"1,471",115
My Universe,"Coldplay, BTS",2022-02-21,"1,470",116
Boyfriend,Dove Cameron,2022-02-21,"1,463",117
Башня,"Даня Милохин, Mumiy Troll",2022-02-21,"1,460",118
Levitating (feat. DaBaby),Dua Lipa,2022-02-21,"1,458",119
Не Бруклин,"МОТ, LYRIQ",2022-02-21,"1,452",120
Эскизы,Xcho,2022-02-21,"1,446",121
WA DA DA,Kep1er,2022-02-21,"1,441",122
Captain,MiyaGi,2022-02-21,"1,431",123
1000-7,fem.love,2022-02-21,"1,425",124
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2022-02-21,"1,423",125
Scary Garry,"Kaito Shoma, DJ Paul, Kingpin Skinny Pimp",2022-02-21,"1,418",126
You Right,"Doja Cat, The Weeknd",2022-02-21,"1,408",127
Bad Habits,Ed Sheeran,2022-02-21,"1,404",128
Плакала,Lesha Svik,2022-02-21,"1,402",129
Никто,NЮ,2022-02-21,"1,400",130
Kiss Me More (feat. SZA),Doja Cat,2022-02-21,"1,397",131
Динозаврики,Папин Олимпос,2022-02-21,"1,393",132
зима,ooes,2022-02-21,"1,391",133
Dandelions,Ruth B.,2022-02-21,"1,382",134
Washing Machine Heart,Mitski,2022-02-21,"1,380",135
Лифон,"uniqe, nkeeei, ARTEM SHILOVETS, SAGARA",2022-02-21,"1,380",136
Меня не будет,"ANIKV, SALUKI",2022-02-21,"1,376",137
Дом Периньон,"Poshlaya Molly, Eldzhey",2022-02-21,"1,372",138
Someone like you,NILETTO,2022-02-21,"1,371",139
raznotsvetnaya,DOROFEEVA,2022-02-21,"1,355",140
Люби меня,"MiyaGi & Endspiel, Sимптом",2022-02-21,"1,348",141
Привычка,"Skryptonite, Andy Panda, 104",2022-02-21,"1,347",142
Ты не моя пара,"Dima Bilan, Mari Kraimbrery",2022-02-21,"1,346",143
Кино,MACAN,2022-02-21,"1,343",144
засыпай,ssshhhiiittt!,2022-02-21,"1,342",145
Touch the Sky,"Ollane, MiyaGi",2022-02-21,"1,340",146
Easy On Me,Adele,2022-02-21,"1,319",147
ODIUM,"LXST CXNTURY, Kingpin Skinny Pimp",2022-02-21,"1,316",148
Shivers,Ed Sheeran,2022-02-21,"1,314",149
Конспект,SCIRENA,2022-02-21,"1,302",150
FEVER,ENHYPEN,2022-02-21,"1,300",151
Нету интереса,10AGE,2022-02-21,"1,289",152
Tell Em,"Cochise, $NOT",2022-02-21,"1,288",153
UP,INNA,2022-02-21,"1,286",154
Днями-ночами,"pyrokinesis, MUKKA",2022-02-21,"1,286",155
Rampampam,Minelli,2022-02-21,"1,279",156
24 на 7,FACE,2022-02-21,"1,276",157
Люди,Дайте танк (!),2022-02-21,"1,275",158
Без названия,MACAN,2022-02-21,"1,271",159
Кайен,Valentin Strykalo,2022-02-21,"1,270",160
Сан Ларан,"Платина, Дора",2022-02-21,"1,270",161
Do It To It,"ACRAZE, Cherish",2022-02-21,"1,269",162
Why'd You Only Call Me When You're High?,Arctic Monkeys,2022-02-21,"1,263",163
Я тебя люблю,Где Фантом?,2022-02-21,"1,263",164
masquerade,siouxxie sixxsta,2022-02-21,"1,262",165
NEW MAGIC WAND,"Tyler, The Creator",2022-02-21,"1,258",166
Там ревели горы,Miyagi & Andy Panda,2022-02-21,"1,255",167
Goosebumps,HVME,2022-02-21,"1,253",168
Зымыран,Жугунусов Мирас,2022-02-21,"1,251",169
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,2022-02-21,"1,250",170
Останься,"NЮ, Асия",2022-02-21,"1,247",171
good 4 u,Olivia Rodrigo,2022-02-21,"1,243",172
Пачка сигарет,LIZER,2022-02-21,"1,242",173
untitled,"semmmyq, shinra",2022-02-21,"1,239",174
"Бар ""2 лесбухи""","JILLZAY, Magg '98, Cheenah, Ben'z, Skryptonite, 104, Truwer, Kolyaolya",2022-02-21,"1,233",175
Хочешь,"Arthur Pirozhkov, Klava Koka",2022-02-21,"1,231",176
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2022-02-21,"1,230",177
The Feels,TWICE,2022-02-21,"1,229",178
Летний Снег,Jah Khalib,2022-02-21,"1,227",179
НЕ ЖАЛЬ (feat. Miyagi & Скриптонит),"104, Skryptonite",2022-02-21,"1,221",180
Между Нами,LIZER,2022-02-21,"1,213",181
Послала,"VAVAN, Real girl",2022-02-21,"1,211",182
Friends,Chase Atlantic,2022-02-21,"1,211",183
Polaroid Love,ENHYPEN,2022-02-21,"1,209",184
Yo Voy (feat. Daddy Yankee),Zion & Lennox,2022-02-21,"1,206",185
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,2022-02-21,"1,202",186
в темноте,"КОСМОНАВТОВ НЕТ, дипинс",2022-02-21,"1,198",187
дети немой страны,конец солнечных дней,2022-02-21,"1,196",188
Bored,Billie Eilish,2022-02-21,"1,195",189
кладбище,вышел покурить,2022-02-21,"1,192",190
Mount Everest,Labrinth,2022-02-21,"1,187",191
надежда,ssshhhiiittt!,2022-02-21,"1,185",192
макинтош бизнес онли,BUSHIDO ZHO,2022-02-21,"1,184",193
Ghoul,Twinky,2022-02-21,"1,184",194
Only You,"Xcho, Пабло, ALEMOND",2022-02-21,"1,182",195
Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix,MORGENSHTERN,2022-02-21,"1,173",196
Втюрилась,Дора,2022-02-21,"1,172",197
Тёмно-оранжевый закат,Папин Олимпос,2022-02-21,"1,169",198
love nwantiti (ah ah ah),CKay,2022-02-21,"1,169",199
Beggin',Måneskin,2022-02-21,"1,168",200
astral step,shadowraze,2022-02-22,"7,156",1
Heat Waves,Glass Animals,2022-02-22,"5,015",2
МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,2022-02-22,"4,452",3
adaptive strike,"shadowraze, LXNER, quiizzzmeow",2022-02-22,"4,215",4
MIDDLE OF THE NIGHT,Elley Duhé,2022-02-22,"4,153",5
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,2022-02-22,"4,088",6
СОЛНЦЕ МОНАКО,Lusia Chebotina,2022-02-22,"3,980",7
Marmalade,"Miyagi & Andy Panda, Mav-d",2022-02-22,"3,850",8
Фотографирую закат,fem.love,2022-02-22,"3,811",9
STAY (with Justin Bieber),The Kid LAROI,2022-02-22,"3,694",10
5000,Irina Kairatovna,2022-02-22,"3,577",11
Лёд,"WENARO, LXNER",2022-02-22,"3,555",12
99 Problems,"Big Baby Tape, kizaru",2022-02-22,"3,420",13
Sweater Weather,The Neighbourhood,2022-02-22,"3,397",14
Отпускаю,"Egor Kreed, MakSim",2022-02-22,"3,329",15
ТОЛПЫ КРИЧАТ,"uniqe, nkeeei, ARTEM SHILOVETS",2022-02-22,"3,315",16
Softcore,The Neighbourhood,2022-02-22,"3,204",17
первое свидание,алёна швец.,2022-02-22,"3,146",18
shadowfiend,shadowraze,2022-02-22,"3,067",19
abcdefu,GAYLE,2022-02-22,"2,978",20
Baby mama,"Skryptonite, Райда",2022-02-22,"2,973",21
Million,"Big Baby Tape, kizaru",2022-02-22,"2,970",22
Bandana,"Big Baby Tape, kizaru",2022-02-22,"2,964",23
Close Eyes,DVRST,2022-02-22,"2,924",24
Otyzdan asyp baramyn,Irina Kairatovna,2022-02-22,"2,842",25
"Наверно, ты меня не помнишь","JONY, HammAli",2022-02-22,"2,782",26
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2022-02-22,"2,766",27
juggernaut (Prod. by PLVSTIC),shadowraze,2022-02-22,"2,738",28
Положение,Skryptonite,2022-02-22,"2,732",29
плачь,"rizza, Sqwore",2022-02-22,"2,728",30
Вороны,Xcho,2022-02-22,"2,693",31
баночка с окурками,КОСМОНАВТОВ НЕТ,2022-02-22,"2,635",32
Aomine Daiki,quiizzzmeow,2022-02-22,"2,612",33
Август - это ты,МОТ,2022-02-22,"2,575",34
